,Median_income,"Income_Less_than_$10,000","Occupied housing units; Estimate; Occupied housing units - HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2009 INFLATION-ADJUSTED DOLLARS) - $100,000 to $149,999","Income_$10,000_14,999","Occupied housing units; Estimate; Occupied housing units - HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2009 INFLATION-ADJUSTED DOLLARS) - $5,000 to $9,999","Income_$100,000_149,999",Some_other_race_alone_percent,"Occupied housing units; Estimate; Occupied housing units - HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2009 INFLATION-ADJUSTED DOLLARS) - $75,000 to $99,999","Occupied housing units; Estimate; Occupied housing units - HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2009 INFLATION-ADJUSTED DOLLARS) - $150,000 or more"
1656,74844.0,1.5,29.8,6.1,1.5,29.8,0.0,15.9,4.2
1657,63459.0,4.1,9.6,6.4,2.9,9.6,0.0213793103448,21.8,1.1
1658,69688.0,1.8,23.1,0.0,0.0,23.1,0.0939334637965,18.9,6.6
1659,59821.0,3.7,9.7,8.6,0.0,9.7,0.0182320441989,21.7,7.2
1660,51689.0,3.5,7.6,3.6,2.1,7.6,0.0345109250562,10.7,2.7
1661,79815.0,3.7,22.9,2.6,3.0,22.9,0.031342791158,22.7,9.7
1662,48545.0,4.6,12.5,5.2,3.6,12.5,0.084796638151,14.7,5.4
1663,74464.0,2.0,17.8,0.8,0.0,17.8,0.123324396783,23.4,8.0
1664,69340.0,0.0,21.4,6.5,0.0,21.4,0.219336219336,18.0,7.5
1665,50776.0,5.9,11.5,3.4,2.1,11.5,0.0349112426036,14.2,7.7
1666,64720.0,4.7,13.6,4.0,2.0,13.6,0.232863849765,19.7,4.1
1667,56514.0,1.6,15.6,4.6,1.2,15.6,0.279798129731,10.3,8.5
1668,39154.0,16.3,5.8,4.3,11.0,5.8,0.121366131328,8.8,3.7
1669,86184.0,2.3,23.7,1.4,1.2,23.7,0.315356004251,20.3,16.6
1670,61103.0,0.0,16.3,0.0,0.0,16.3,0.260180995475,0.0,11.3
1671,38636.0,15.8,9.7,6.2,8.7,9.7,0.0646626297578,10.2,2.4
1672,39034.0,7.1,11.5,6.5,4.0,11.5,0.079914833215,10.2,1.8
1673,34663.0,7.9,6.5,4.7,2.9,6.5,0.0810651758129,8.8,5.7
1674,37938.0,9.6,8.0,10.3,6.5,8.0,0.022501520373,11.0,3.5
1675,38906.0,11.2,12.4,8.7,6.2,12.4,0.0225108225108,10.0,2.7
1676,48282.0,11.0,8.7,5.4,4.3,8.7,0.0317665660486,8.9,7.2
1677,58365.0,15.8,5.9,1.5,4.1,5.9,0.329252295584,29.4,4.1
1678,27785.0,13.7,8.3,11.3,3.4,8.3,0.0157894736842,6.2,1.4
1679,21684.0,27.7,8.4,12.6,17.3,8.4,0.136741214058,2.3,4.6
1680,71680.0,2.7,19.1,5.2,1.6,19.1,0.0244214294847,11.9,15.6
1681,45745.0,4.1,11.3,10.1,1.9,11.3,0.0917307292749,16.2,6.2
1682,88264.0,2.1,21.5,3.2,1.5,21.5,0.00677618069815,16.4,21.2
1683,59677.0,9.1,16.1,0.0,0.0,16.1,0.0986418870622,13.8,5.6
1684,85687.0,3.3,23.5,2.6,2.1,23.5,0.0,19.8,15.5
1685,57178.1090089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1686,61424.0,1.1,15.0,1.2,0.0,15.0,0.173635600336,17.6,3.2
1687,102898.0,6.7,13.9,2.2,6.7,13.9,0.0,13.7,38.0
1688,51000.0,6.4,9.3,3.1,3.8,9.3,0.0890493381468,6.4,7.5
1689,106106.0,0.0,23.8,3.2,0.0,23.8,0.00193744810407,9.4,29.8
1690,69575.0,3.0,16.0,2.3,3.0,16.0,0.098204570185,20.4,10.6
1691,38782.0,11.7,7.3,4.7,7.8,7.3,0.0155056179775,7.8,2.6
1692,64318.0,2.7,13.8,5.8,1.4,13.8,0.0855700848819,17.8,10.4
1693,47708.0,15.2,13.3,3.9,10.9,13.3,0.126725989567,15.4,4.2
1694,38750.0,23.6,19.8,4.1,11.2,19.8,0.0365168539326,12.6,2.4
1695,52960.0,11.8,9.2,4.7,7.0,9.2,0.00811287477954,17.9,1.9
1696,92955.0,4.6,20.0,3.1,1.9,20.0,0.00941124972642,12.0,24.9
1697,66269.0,2.8,15.4,5.0,1.2,15.4,0.15865589111,21.8,5.1
1698,66188.0,10.7,9.0,0.0,6.0,9.0,0.0454545454545,14.9,18.4
1699,23344.0,29.8,1.1,5.4,14.4,1.1,0.0146312332039,1.4,0.0
1700,88603.0,1.2,27.2,1.8,1.2,27.2,0.0,19.3,12.5
1701,75606.0,1.1,23.5,2.8,0.0,23.5,0.0226480836237,13.0,14.4
1702,71750.0,1.3,18.5,6.3,1.3,18.5,0.0143206426825,13.5,11.6
1703,86387.0,3.1,23.7,2.8,1.2,23.7,0.0202898550725,17.4,15.2
1704,43220.0,18.0,11.8,10.7,11.0,11.8,0.140934283452,8.5,7.4
1705,56653.0,4.0,14.1,7.3,4.0,14.1,0.0264993026499,12.4,9.9
1706,31895.0,22.1,2.0,5.8,14.5,2.0,0.0512794056954,6.5,2.6
1707,26302.0,23.6,15.1,19.9,15.3,15.1,0.00749829584185,5.9,7.9
1708,71897.0,2.8,22.0,2.8,1.0,22.0,0.0488069414317,11.4,15.6
1709,73500.0,1.5,27.1,4.6,0.7,27.1,0.0394265232975,13.7,7.7
1710,24669.0,24.9,6.7,8.1,14.2,6.7,0.0922830725462,14.6,0.0
1711,41981.0,13.5,13.8,1.4,3.8,13.8,0.129478827362,8.9,8.4
1712,71747.0,4.6,21.9,1.6,0.9,21.9,0.0257408609128,12.7,12.7
1713,70405.0,6.8,21.1,4.6,2.5,21.1,0.0158606748562,15.2,11.9
1714,75203.0,3.7,18.5,4.0,2.0,18.5,0.0366161616162,16.0,15.8
1715,75452.0,1.4,24.2,2.0,1.2,24.2,0.0102389078498,9.1,17.4
1716,80125.0,3.5,31.2,4.8,0.0,31.2,0.0,18.6,3.4
1717,84432.0,0.0,21.1,2.5,0.0,21.1,0.0778917910448,23.0,21.1
1718,50000.0,3.4,19.1,5.1,2.6,19.1,0.0220125786164,10.0,8.6
1719,108793.0,1.0,20.0,4.1,1.0,20.0,0.0480584390619,8.7,35.8
1720,71235.0,2.2,11.8,2.0,0.0,11.8,0.0925652387986,22.3,8.0
1721,78377.0,1.2,18.5,4.8,1.2,18.5,0.0366151342555,22.3,13.3
1722,86731.0,4.2,21.7,8.8,2.8,21.7,0.0603101665709,11.8,20.6
1723,74805.0,0.7,24.8,2.2,0.7,24.8,0.0226537216828,12.5,12.5
1724,100474.0,1.0,22.1,2.1,1.0,22.1,0.0050563982886,22.5,28.5
1725,100268.0,0.0,28.5,3.6,0.0,28.5,0.0632911392405,16.2,21.8
1726,106250.0,0.0,28.1,2.9,0.0,28.1,0.00896414342629,18.9,26.4
1727,63906.0,8.5,13.5,1.2,5.3,13.5,0.119218500797,20.1,7.0
1728,63125.0,6.3,13.9,3.1,3.3,13.9,0.134413727359,9.3,6.8
1729,48266.0,6.5,11.6,5.5,5.0,11.6,0.0664216329745,11.6,6.4
1730,44186.0,16.7,10.1,7.7,8.5,10.1,0.0445924132365,14.3,1.2
1731,38412.0,10.5,7.6,7.1,6.5,7.6,0.0904457088668,6.1,7.3
1732,56667.0,3.2,10.8,5.4,3.2,10.8,0.160594439118,19.7,5.0
1733,52988.0,8.1,11.8,5.3,1.0,11.8,0.0958806818182,14.8,6.0
1734,62391.0,5.3,14.5,2.1,3.1,14.5,0.0837907061837,14.7,8.0
1735,43581.0,2.8,10.8,8.0,2.8,10.8,0.090692124105,18.8,3.2
1736,47031.0,8.3,8.9,6.6,3.6,8.9,0.208904109589,15.5,3.8
1737,63152.0,8.3,13.4,1.4,0.0,13.4,0.132697947214,16.7,11.3
1738,49230.0,2.5,14.5,1.3,0.0,14.5,0.0252329192547,9.7,1.3
1739,53355.0,9.1,15.8,3.9,0.8,15.8,0.137829912023,11.5,6.1
1740,65268.0,6.8,14.2,1.1,2.5,14.2,0.063550036523,15.5,10.7
1741,68875.0,4.3,22.8,0.0,4.3,22.8,0.165111270639,18.5,3.1
1742,49615.0,7.3,16.5,2.3,0.0,16.5,0.0520833333333,6.2,15.2
1743,48750.0,19.8,20.8,0.6,15.2,20.8,0.019335347432,11.7,5.5
1744,56574.0,5.2,13.3,4.0,5.2,13.3,0.016918429003,5.6,20.8
1745,31689.0,17.0,3.9,18.1,16.4,3.9,0.0352406214475,16.0,2.7
1746,67554.0,3.9,20.3,8.5,0.0,20.3,0.105964678441,11.3,12.3
1747,69940.0,2.7,18.6,3.3,0.0,18.6,0.0884353741497,20.3,5.5
1748,75952.0,4.9,16.5,1.3,0.9,16.5,0.0513075965131,21.3,13.5
1749,56399.0,3.6,15.5,5.4,1.7,15.5,0.0567226890756,12.5,3.8
1750,21121.0,21.2,5.9,11.1,14.6,5.9,0.117103235747,4.0,2.2
1751,72436.0,5.8,15.2,0.7,3.5,15.2,0.0308406113537,12.6,21.1
1752,68371.0,6.1,23.4,5.3,0.9,23.4,0.0515290151698,3.3,19.3
1753,52569.0,4.4,10.7,6.9,1.9,10.7,0.0719870585063,19.2,4.9
1754,53750.0,5.5,17.7,8.5,2.3,17.7,0.0731421884143,6.1,7.6
1755,82202.0,1.4,18.9,4.1,0.0,18.9,0.0651041666667,14.4,23.0
1756,57178.1090089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1757,102321.0,0.0,24.9,3.3,0.0,24.9,0.0134110787172,11.7,26.7
1758,65745.0,1.9,19.7,2.5,0.6,19.7,0.0734662963898,9.3,10.5
1759,71900.0,0.7,9.4,2.6,0.0,9.4,0.00797165633304,13.1,24.0
1760,94792.0,0.0,33.5,0.0,0.0,33.5,0.0113234253362,9.0,16.3
1761,70759.0,3.6,26.3,1.1,0.0,26.3,0.0117075956596,9.4,11.8
1762,53560.0,6.3,8.1,4.3,2.4,8.1,0.0535294718562,15.2,8.7
1763,59306.0,2.8,15.4,8.8,0.5,15.4,0.0,16.7,9.3
1764,70123.0,8.4,21.5,2.2,5.8,21.5,0.00947204968944,16.1,7.2
1765,85942.0,3.7,24.2,2.8,0.6,24.2,0.0130111524164,17.2,15.8
1766,87880.0,0.0,12.4,1.6,0.0,12.4,0.0137211855104,15.5,25.6
1767,55444.0,3.7,16.5,4.0,1.0,16.5,0.0339765100671,13.6,8.2
1768,37266.0,12.0,27.3,2.9,0.0,27.3,0.0,8.4,2.9
1769,79375.0,2.9,22.8,0.0,2.9,22.8,0.0245220282627,15.7,15.0
1770,81576.0,4.3,14.7,2.4,0.7,14.7,0.0203649828088,16.4,22.9
1771,87353.0,3.2,18.9,1.6,3.2,18.9,0.109375,22.6,17.6
1772,62452.0,3.6,20.9,3.2,1.6,20.9,0.0153282239254,10.6,9.3
1773,51159.0,3.8,11.1,3.9,0.9,11.1,0.0363288718929,16.4,2.6
1774,75291.0,2.5,25.9,5.5,0.0,25.9,0.0084142394822,17.0,8.0
1775,62321.0,6.3,13.7,6.0,6.3,13.7,0.0511384845091,18.4,15.0
1776,89444.0,3.2,23.1,2.4,0.7,23.1,0.0346256288843,12.0,19.5
1777,66959.0,7.1,17.9,1.5,1.6,17.9,0.0537428023033,19.6,4.5
1778,56230.0,8.8,13.7,4.7,8.2,13.7,0.0544881889764,12.7,8.2
1779,62569.0,6.2,18.8,1.4,3.6,18.8,0.00972261938805,6.8,17.3
1780,82434.0,2.1,22.1,2.0,0.5,22.1,0.0364159080019,16.8,22.5
1781,109615.0,1.0,20.9,3.7,0.0,20.9,0.0334121821407,5.3,33.9
1782,103227.0,2.2,31.2,2.2,2.2,31.2,0.0,14.5,24.6
1783,66298.0,2.1,16.0,2.2,2.1,16.0,0.00395738203957,8.2,19.6
1784,75026.0,6.4,17.2,4.3,4.2,17.2,0.053002953725,17.2,15.6
1785,68773.0,5.0,21.4,4.0,1.9,21.4,0.022169903865,13.9,12.1
1786,57521.0,2.8,9.6,4.0,0.8,9.6,0.0,13.1,17.0
1787,78241.0,4.2,22.1,4.2,3.2,22.1,0.034006116208,23.7,8.0
1788,38621.0,32.1,24.6,7.5,32.1,24.6,0.167698019802,4.9,9.3
1789,75391.0,3.3,23.0,0.9,1.3,23.0,0.0640605296343,17.7,9.6
1790,61680.0,2.6,24.2,5.5,2.6,24.2,0.0106640814348,8.9,5.5
1791,86314.0,2.7,24.5,3.7,1.1,24.5,0.0459502950116,15.8,17.2
1792,68750.0,1.0,21.0,2.7,1.0,21.0,0.0311122634172,9.3,13.3
1793,73085.0,4.0,23.0,2.4,1.5,23.0,0.0545823813151,13.6,10.8
1794,79732.0,0.0,12.7,0.8,0.0,12.7,0.105827846867,20.2,20.5
1795,66750.0,3.2,21.9,0.8,1.9,21.9,0.144969958404,13.2,9.4
1796,48165.0,4.1,5.6,0.0,0.0,5.6,0.0710267229255,4.1,0.0
1797,42340.0,16.6,14.3,6.7,11.4,14.3,0.00625782227785,17.7,7.9
