,Id,Median_income,"Income_Less_than_$10,000","Occupied housing units; Estimate; Occupied housing units - HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2009 INFLATION-ADJUSTED DOLLARS) - $5,000 to $9,999","Occupied housing units; Estimate; Occupied housing units - HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2009 INFLATION-ADJUSTED DOLLARS) - $150,000 or more","Income_$150,000_199,999","Income_$100,000_149,999","Occupied housing units; Estimate; Occupied housing units - HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2009 INFLATION-ADJUSTED DOLLARS) - $10,000 to $14,999",White_alone_percent,"Renter-occupied housing units; Estimate; Occupied housing units - HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2009 INFLATION-ADJUSTED DOLLARS) - $5,000 to $9,999","Occupied housing units; Estimate; Occupied housing units - HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2009 INFLATION-ADJUSTED DOLLARS) - $100,000 to $149,999",Some_other_race_alone_percent,foodstamp_per_HH
11028,1400000US36047040200,42000.0,9.4,5.7,6.7,5.0,13.0,7.1,0.421915765934,10.5,13.0,0.0551621319419,0.263796909492
11029,1400000US36047040300,27827.0,26.3,8.3,3.9,3.9,7.0,7.8,0.127819548872,10.8,7.0,0.214285714286,0.425826287471
11030,1400000US36047040400,39947.0,5.4,1.8,14.9,6.9,7.9,4.2,0.535291717666,1.1,7.9,0.0436556507548,0.143719806763
11031,1400000US36047040500,40815.0,23.3,6.0,5.6,0.0,5.2,2.2,0.224821312541,6.5,5.2,0.222871994802,0.236499068901
11032,1400000US36047040600,44107.0,5.6,3.5,7.5,3.7,11.4,3.6,0.380809595202,5.8,11.4,0.0992503748126,0.191840277778
11033,1400000US36047040800,59056.0,11.7,3.4,7.9,3.2,9.5,3.5,0.428268765133,3.9,9.5,0.0632566585956,0.196360153257
11034,1400000US36047040900,37635.0,15.3,8.0,3.2,1.8,12.8,6.5,0.356340288925,9.7,12.8,0.303103263777,0.37639553429
11035,1400000US36047041000,43750.0,9.8,4.0,6.7,4.0,12.0,3.7,0.772923408846,4.4,12.0,0.0366774541532,0.133903133903
11036,1400000US36047041100,35068.0,13.8,7.2,3.7,2.6,9.3,12.2,0.179509890759,8.5,9.3,0.388249188072,0.492945326279
11037,1400000US36047041200,41944.0,11.3,8.1,9.0,5.7,8.8,1.6,0.67266313933,14.2,8.8,0.0811287477954,0.209325396825
11038,1400000US36047041300,38955.0,11.3,5.2,0.9,0.7,9.7,5.3,0.284765177549,6.5,9.7,0.189461626575,0.399854862119
11039,1400000US36047041401,52774.0,13.1,2.3,5.5,0.8,17.1,4.9,0.874324324324,5.9,17.1,0.0378378378378,0.0664136622391
11040,1400000US36047041402,28884.0,14.2,10.8,13.8,5.9,3.9,16.5,1.0,15.2,3.9,0.0,0.299845440495
11041,1400000US36047041500,53924.0,10.6,9.3,1.8,0.6,14.7,2.9,0.425859758821,12.2,14.7,0.0384100044663,0.331437855402
