cartodb_id,the_geom,store_name,longitude,latitude,address,address_line__2,city,state,zip5,zip4,county,count_vals,count_vals_density
8057,0101000020E610000043E38920CE7A52C05E85949F546B4440,La Mexicana Fruit & Grocery Corp,-73.918831,40.83852,1322 Jerome Ave,,Bronx,NY,10452,3316,BRONX ,1,384615.384615385
8058,0101000020E61000007B30293E3E7852C081936DE00E6A4440,Mi Mexico Mini Market And Grocery Inc,-73.878799,40.828579,1526a Westchester Ave,,Bronx,NY,10472,2909,BRONX ,1,384615.384615385
8060,0101000020E61000009544F641967952C0BB7CEBC37A5F4440,Five Star Convenient Store,-73.899796,40.745934,64-02 Roosevelt Avenue,,Woodside,NY,11377,,QUEENS ,1,384615.384615385
8062,0101000020E6100000EB39E97DE37C52C023F3C81F0C524440,Shamoon Ninety Nine Cent And Up Store,-73.951385,40.640995,1187 Rogers Ave,,Brooklyn,NY,11226,7107,KINGS ,1,384615.384615385
8064,0101000020E6100000116F9D7FBB7C52C0438F183DB75C4440,Rachel's Garden,-73.948944,40.724342,116 Nassau Ave,,Brooklyn,NY,11222,4024,KINGS ,1,384615.384615385
8065,0101000020E610000092088D60E37A52C0F0DB10E335554440,San Jose 63 Corp,-73.920128,40.665707,63 Sutter Ave,,Brooklyn,NY,11212,4105,KINGS ,1,384615.384615385
8068,0101000020E6100000F390291F828752C0DBA6785C54514440,Broadway Corner Deli & Grocery Corp,-74.117317,40.635387,251 Broadway,,Staten Island,NY,10310,1338,RICHMOND ,1,384615.384615385
8069,0101000020E6100000C5707500C47F52C079211D1EC2604440,431 Food Market Corp/Brooklyn Fare,-73.996338,40.755924,431 West 37th Street,Unit A,New York,NY,10018,4292,NEW YORK ,1,384615.384615385
8070,0101000020E610000045D4449F8F7F52C0B79BE09BA6614440,Sunset Food Corp.,-73.993141,40.762897,689 10th Ave,,New York,NY,10036,2901,NEW YORK ,1,384615.384615385
8071,0101000020E610000087DBA161317552C0C85EEFFE785B4440,Forest Hills 99cents Market Inc,-73.831139,40.71463,11827 Queens Blvd,,Forest Hills,NY,11375,7202,QUEENS ,1,384615.384615385
8072,0101000020E610000098FC4FFEEE7C52C0295FD04202684440,Soha Square FARMERS MARKET,-73.952087,40.812569,"7th Ave., St Nicholas Ave & W 117th St",Philip Randolph Square Park,New York,NY,10027,1620,NEW YORK ,1,384615.384615385
